Benchmark,Kotlin,C,Swift,C++,Rust
Compile: Primes Functional,7.98,,0.29,0.34,0.11
Primes Functional,0.35200000000000004,,0.324,0.324,0.322
Compile: Strings Functional,9.19,,0.61,0.38,0.15
Strings Functional,0.268,,2.052,0.13599999999999998,0.05600000000000001
Compile: Strings Imperative,9.18,,0.5,0.34,0.16
Strings Imperative,0.23199999999999998,,2.0439999999999996,0.11400000000000002,0.05199999999999999
Compile: Chunks Functional,8.42,0.1,0.39,,0.14
Chunks Functional,27.432,0.182,3.9580000000000006,,0.374
Compile: Chunks Imperative,8.49,0.07,0.48,,0.4
Chunks Imperative,1.186,0.154,0.288,,0.35800000000000004
